대여소번호,대여소명,거치대수,주소,위도,경도,구
1742.0,북한산 코오롱 하늘채,10,서울특별시 도봉구 우이천로 367 북한산 코오롱 하늘채,37.64889145,127.02301788,도봉구
175.0,홍연2교옆,20,서울특별시 서대문구 홍은동 387-16 홍연2교옆,37.57807159,126.93081665,서대문구
176.0,명지대학교 도서관,10,서울특별시 서대문구 거북골로 34 서대문구 거북골로 34,37.58109665,126.92402649,서대문구
177.0,북가좌 초등학교,8,서울특별시 서대문구 거북골로19길 20 북가좌 초등학교,37.57767487,126.9098053,서대문구
178.0,증산3교 앞,10,서울특별시 서대문구 북가좌동 352-9 증산3교 앞,37.57987595,126.90634918,서대문구
179.0,가좌역 4번출구 앞,15,서울특별시 서대문구 남가좌동 293-3 가좌역 4번출구 앞,37.56912231,126.91479492,서대문구
180.0,충정로역 7번출구 아래,10,서울특별시 서대문구 충정로3가 56-1 충정로역 7번출구 뒤,37.55996704,126.96246338,서대문구
1804.0,독산역 2번출구 자전거주차장,10,서울특별시 금천구 벚꽃로 115 가산동 680-2 독산역 2번출구 뒤편 자전거 주차장,37.46652985,126.88871765,금천구
1805.0,서울디지털운동장 앞,10,서울특별시 금천구 가산디지털2로 151 가산동 459-16,37.48228836,126.87776947,금천구
1806.0,에이스하이엔드타워9차 앞,10,서울특별시 금천구 가산디지털1로 233 가산동 602-3,37.48621368,126.87863922,금천구
1808.0,에이스하이엔드타워8차 앞,20,서울특별시 금천구 가산디지털1로 84 가산동 345-5,37.47320938,126.8849411,금천구
1809.0,LG전자 별관동(호서대 벤처타워 맞은편),10,서울특별시 금천구 가산디지털1로 63 가산동 319-11,37.47077942,126.88515472,금천구
181.0,망원초록길 입구,15,서울특별시 마포구 마포나루길 467 망원초록길 입구,37.55134201,126.90267181,마포구
1812.0,갑을그레이트밸리 앞,10,서울특별시 금천구 디지털로9길 32 가산동 60-35,37.47903061,126.88729858,금천구
1814.0,두산위브아파트 옆 상가건물 앞,8,서울특별시 금천구 가산로 99 가산동 153-16,37.47422028,126.89412689,금천구
1816.0,금천폭포공원 앞,20,서울특별시 금천구 시흥대로38길 61 시흥동 1001-1,37.44686127,126.90383148,금천구
1819.0,금천구청 앞 자전거거치대,10,서울특별시 금천구 시흥대로73길 70 시흥동 1020,37.45647812,126.89592743,금천구
182.0,망원2빗물펌프장 앞,10,서울특별시 마포구 동교로 7 망원2빗물펌프장 앞,37.55156708,126.90284729,마포구
1820.0,신한은행 시흥대로금융센터지점,10,서울특별시 금천구 시흥대로 446 시흥동 1001-7,37.4433403,126.90335846,금천구
1821.0,홈플러스 시흥점 맞은편 다비치안경 앞,10,서울특별시 금천구 시흥대로 198 시흥동 1000-92,37.45145798,126.90211487,금천구
